question,answer,len_q1,len_q2,diff_len,len_char_q1,len_char_q2,len_word_q1,len_word_q2,common_words,fuzz_qratio,fuzz_WRatio,fuzz_partial_ratio,fuzz_partial_token_set_ratio,fuzz_partial_token_sort_ratio,fuzz_token_set_ratio,fuzz_token_sort_ratio,wmd,norm_wmd,cosine_distance,cityblock_distance,jaccard_distance,canberra_distance,euclidean_distance,minkowski_distance,braycurtis_distance,skew_q1vec,skew_q2vec,kur_q1vec,kur_q2vec
a person on a black motorbike is doing tricks with a jacket,a person is riding the bicycle on one wheel,59,43,16,19,17,12,9,4,47,56,47,100,52,59,49,2.673291421057892,0.9485804457324029,0.3995916032555018,12.339488603407517,1.0,156.28081127412304,0.8939704798853577,0.3999388930443704,0.48379247657864216,0.27446771476043197,0.0235884445887956,-0.19433398276249791,-0.22476749433970067
a man with a jersey is dunking the ball at a basketball game,the ball is being dunked by a man with a jersey at a basketball game,60,68,-8,18,18,13,15,10,62,87,67,100,82,92,89,0.5406493176722813,0.1419899828513679,0.03716251037271068,3.8465266116545536,1.0,73.32714452083866,0.27262615907384186,0.12372585440339655,0.13674150895940207,0.2058038770708942,0.2670511399027938,-0.3929937474801357,0.00742098278469161
a man with a jersey is dunking the ball at a basketball game,a man who is playing dunks the basketball into the net and a crowd is in background,60,83,-23,18,20,13,17,5,50,62,58,100,62,65,60,2.6183284217202933,0.8097455085150851,0.2635467781115345,9.921544565848308,1.0,136.19587166010461,0.7260120694100041,0.33117014001344,0.3725361236004551,0.2058038770708942,0.08773045218803147,-0.3929937474801357,-0.2661643041356765
the player is dunking the basketball into the net and a crowd is in background,a man with a jersey is dunking the ball at a basketball game,78,60,18,19,18,15,13,5,52,62,58,100,58,65,59,2.373901229512616,0.8048709369095827,0.23395630454794547,9.35370889335536,1.0,133.21491948506315,0.6840413574877119,0.3123665854745929,0.34440046486748394,0.09904590357862757,0.2058038770708942,-0.4085027950953406,-0.3929937474801357
two people are kickboxing and spectators are not watching,two people are kickboxing and spectators are watching,57,53,4,18,18,9,8,7,96,96,92,100,92,100,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06978389255043169,0.06978389255043169,0.11581703129031862,0.11581703129031862
two young women are sparring in a kickboxing fight,two women are sparring in a kickboxing match,50,44,6,20,17,9,8,7,85,88,86,100,86,93,81,1.0395015730549018,0.4028753009239608,0.08032845626759866,5.507193331693998,1.0,104.19991766825068,0.4008203004235327,0.18101065021595913,0.20323311021952592,0.1491023410350126,0.21310654711223018,-0.06402379451687157,0.016206944133860368
two young women are not sparring in a kickboxing fight,two women are sparring in a kickboxing match,54,44,10,20,17,10,8,7,82,88,82,100,82,93,82,1.0395015730549018,0.4028753009239608,0.08032845626759866,5.507193331693998,1.0,104.19991766825068,0.4008203004235327,0.18101065021595913,0.20323311021952592,0.1491023410350126,0.21310654711223018,-0.06402379451687157,0.016206944133860368
two people are kickboxing and spectators are watching,two young women are not sparring in a kickboxing fight,53,54,-1,18,20,8,10,3,45,59,45,100,58,62,60,2.2198704572945505,0.8041734974713972,0.32584778757448074,11.472255686552671,1.0,159.78065915125026,0.8072766468090423,0.3561272670022482,0.45606048260778503,0.06978389255043169,0.1491023410350126,0.11581703129031862,-0.06402379451687157
two women are sparring in a kickboxing match,two people are kickboxing and spectators are not watching,44,57,-13,17,18,8,9,3,51,61,55,100,61,64,61,2.016132144642258,0.7064218253615141,0.3304135219361293,11.439737701810373,1.0,159.31893258699904,0.8129126889666645,0.3623883797607429,0.4531155662075989,0.21310654711223018,0.06978389255043169,0.016206944133860368,0.11581703129031862
three boys are jumping in the leaves,three kids are jumping in the leaves,36,36,0,18,17,7,7,6,92,92,92,100,86,93,86,0.5777872866253853,0.21813641361379624,0.08200187052736152,5.558434966078494,1.0,102.7593757387352,0.4049737619751835,0.18602530379499804,0.20798525549642685,0.25699074932962845,0.1330701106744725,1.1155168981243646,0.43323055139495104
three kids are sitting in the leaves,three kids are jumping in the leaves,36,36,0,13,17,7,7,6,89,89,89,100,78,89,78,0.7675386475181579,0.29281793304920195,0.1389543016583541,7.330048844425619,1.0,115.80515355596563,0.5271703769845058,0.2373939604902786,0.27292437265374336,0.0038361665434788615,0.1330701106744725,-0.17056513227966175,0.43323055139495104
children in red shirts are playing in the leaves,three kids are sitting in the leaves,48,36,12,15,13,9,7,4,69,69,75,100,64,67,60,2.2873877807779315,0.8996127925222278,0.3436196383605493,11.342451962413179,1.0,156.12576976121005,0.8289989492550363,0.37542680206987367,0.4570588284688804,0.23833794459738836,0.0038361665434788615,0.921338818964474,-0.17056513227966175
children in red shirts are playing in the leaves,three kids are jumping in the leaves,48,36,12,15,17,9,7,4,71,71,78,100,61,67,57,2.3897326619976997,0.9255939154730916,0.40136032023618773,12.040673388750292,1.0,161.7635829095072,0.8959468115518874,0.4138068950822245,0.4948310746174494,0.23833794459738836,0.1330701106744725,0.921338818964474,0.43323055139495104
two angels are making snow on the lying children,two children are lying in the snow and are making snow angels,48,61,-13,17,17,9,12,8,53,92,54,100,88,97,86,0.4937857079847857,0.15909798003011277,0.03445686079180399,3.6344564197061118,1.0,74.91724536418646,0.262514229362502,0.11784050058354555,0.130020632705261,0.20204132461176,0.25190084298668836,-0.2107008128026,-0.14031767992354371
two children are lying in the snow and are drawing angels,two people in snowsuits are lying in the snow and making snow angels,57,68,-11,15,18,11,13,8,72,77,70,100,61,81,66,1.478703859916612,0.5498716925921836,0.13738548932946393,7.101490266883047,1.0,111.81613299094316,0.5241860335982066,0.24165302635087843,0.2617280834942009,0.07604272236324572,0.26935023670866165,0.15095793546548109,-0.08583808045798236
two people in snowsuits are lying in the snow and making snow angels,two angels are making snow on the lying children,68,48,20,18,17,13,9,7,48,82,56,100,73,86,72,1.1031058592796898,0.3909035137396703,0.0837420316981945,5.559793099324452,1.0,94.6755375120654,0.4092481717377377,0.18658391098130414,0.20141211781253396,0.26935023670866165,0.20204132461176,-0.08583808045798236,-0.2107008128026
two children are lying in the snow and are making snow angels,two people in snowsuits are lying in the snow and making snow angels,61,68,-7,17,18,12,13,9,81,86,80,100,75,91,79,0.7790357646084161,0.2802021849570834,0.03927777524870568,3.9151591082918458,1.0,69.29827074050115,0.2802776341210642,0.12506952194009352,0.13992130800967395,0.25190084298668836,0.26935023670866165,-0.14031767992354371,-0.08583808045798236
people wearing costumes are gathering in a forest and are looking in the same direction,masked people are looking in the same direction in a forest,87,59,28,19,17,15,11,9,56,88,66,100,81,93,71,1.58269899677448,0.5489115611883872,0.2283936718413997,9.364603491179878,1.0,138.79973716455203,0.6758604644975889,0.3057632107620642,0.3542344248042167,0.12450078286109593,0.1364310109717301,-0.37030519597524103,-0.31545932400829724
people wearing costumes are gathering in a forest and are looking in the same direction,people wearing costumes are scattering in a forest and are looking in different directions,87,90,-3,19,18,15,14,9,89,89,89,100,80,85,82,1.2225168678786145,0.44614804415283665,0.14580315260695442,7.015544234105619,1.0,112.46708470530723,0.5400058650533373,0.25425131992414474,0.2583009111621696,0.12450078286109593,-0.05514666760121632,-0.37030519597524103,-0.2960183378299406
people are looking at some costumes gathered in the vicinity of the forest,people wearing costumes are gathering in a forest and are looking in the same direction,74,87,-13,20,19,13,15,7,57,73,59,100,74,77,72,1.3140257031165954,0.4857394811847903,0.13910865230371372,7.340768219117308,1.0,121.62578532004795,0.5274630875061886,0.23890466470044702,0.26965014012652927,-0.007086698805839595,0.12450078286109593,-0.43124155241470996,-0.37030519597524103
a little girl is looking at a woman in costume,people wearing costumes are scattering in a forest and are looking in different directions,46,90,-44,15,18,10,14,3,38,86,48,100,52,58,51,2.820076075755358,1.0204114025715532,0.4396695925091525,13.054853678186191,1.0,170.6326137490271,0.9377309209474315,0.42165974625095404,0.5317460342650423,0.15303403551811764,-0.05514666760121632,0.2219547696843196,-0.2960183378299406
a little girl is looking at a woman in costume,people are looking at some costumes gathered in the vicinity of the forest,46,74,-28,15,20,10,13,3,47,86,57,100,61,60,50,2.6174409516730788,0.9601418184597512,0.4979993943549891,13.825634259759681,1.0,179.3410311021368,0.9979974006349428,0.45153823215968375,0.5671289234496765,0.15303403551811764,-0.007086698805839595,0.2219547696843196,-0.43124155241470996
a young girl is looking at a woman in costume,people wearing costumes are gathering in a forest and are looking in the same direction,45,87,-42,16,19,10,15,3,41,86,49,100,53,55,53,2.694848236171115,0.9892466268123907,0.4160436591040506,12.752811739308527,1.0,163.78448804458543,0.9121881986212063,0.4064538010248711,0.5102318625532112,0.16916338293399094,0.12450078286109593,0.0540179297425607,-0.37030519597524103
people wearing costumes are gathering in a forest and are looking in the same direction,the little girl is looking at a man in costume,87,46,41,19,15,15,10,4,42,86,48,100,57,62,53,2.614731106742776,0.9779520815493087,0.3935518004294396,12.20835866118432,1.0,162.31416944398356,0.8871886255589715,0.397758253001935,0.4881846891582215,0.12450078286109593,0.23305015088638115,-0.37030519597524103,0.13222231922805872
people wearing costumes are gathering in a forest and are looking in the same direction,a little girl in costume looks like a woman,87,43,44,19,15,15,9,2,43,86,49,100,49,50,48,2.931440022078508,1.131142629372521,0.45339697052643535,13.662818261017492,1.0,180.528077007148,0.9522572781941865,0.41980683932291857,0.5583140605115217,0.12450078286109593,0.13163068625182195,-0.37030519597524103,0.16294363207148344
a lone biker is jumping in the air,"a biker is jumping in the air, alone",34,36,-2,17,18,8,8,6,83,94,85,100,82,99,84,1.665490435697055,0.6566142369926963,0.13546390999040114,7.228925864699704,1.0,122.5690466035843,0.5205072642271542,0.23457207434556437,0.27461321578598663,0.22878156690810453,0.01999725518113344,0.4121284389825517,0.2420308236712181
there is no biker jumping in the air,a lone biker is jumping in the air,36,34,2,16,17,8,8,6,77,85,83,100,88,89,86,0.9647685298355199,0.34587272916205997,0.10597122640323742,6.352576504221361,1.0,110.64320316765009,0.4603720803825698,0.20729961002474884,0.23962630371017724,0.1811462598511353,0.22878156690810453,0.34050374330143507,0.4121284389825517
a man is jumping into an empty pool,a man is jumping into a full pool,35,33,2,14,13,8,8,6,85,86,82,100,82,91,85,0.8170584781563283,0.31488300985765455,0.14786453831448154,7.713859388313722,1.0,124.44860956926516,0.5438097890769835,0.242228783304436,0.28666885083124677,0.16023426868490678,0.013604156019288058,0.08948583182683345,-0.2174326976962182
a man is jumping into an empty pool,the man's jumper is in the empty pool,35,37,-2,14,16,8,8,3,75,75,75,100,71,74,69,2.0141439350078105,0.6206629469559192,0.24550325546647556,9.383736313502595,1.0,141.90216611036266,0.7007185675718356,0.3238483532548141,0.3626076733434998,0.16023426868490678,0.0718894176474073,0.08948583182683345,-0.1498677411836531
a lone biker is jumping in the air,a man is jumping into a full pool,34,33,1,17,13,8,8,3,60,60,61,100,64,58,63,2.518048791409135,0.9566881525013744,0.4728250686615669,13.445643512641254,1.0,171.3325775517113,0.9724454461078383,0.44044860901542876,0.5465438478781355,0.22878156690810453,0.013604156019288058,0.4121284389825517,-0.2174326976962182
the man's jumper is in the empty pool,a lone biker is jumping in the air,37,34,3,16,17,8,8,3,51,54,51,100,56,57,56,3.901590400577545,1.2652277253988087,0.6191073304079207,15.2641164707602,1.0,185.71779636782418,1.1127509288217918,0.5018050729641264,0.6582229785738095,0.0718894176474073,0.22878156690810453,-0.1498677411836531,0.4121284389825517
a lone biker is jumping in the air,a man is jumping into an empty pool,34,35,-1,17,14,8,8,3,58,61,59,100,65,64,64,2.614663640776634,0.9486654509336352,0.4839235325647073,13.443999257571704,1.0,170.87532599120786,0.9837921750106579,0.44972010387328676,0.550607687363273,0.22878156690810453,0.16023426868490678,0.4121284389825517,0.08948583182683345
four kids are doing backbends in the park,four children are doing backbends in the park,41,45,-4,17,18,8,8,7,91,91,85,100,78,94,84,0.46429768039989466,0.17891871038129925,0.05483611985604808,4.594460834043275,1.0,93.09164705671014,0.33116797785480806,0.15033724359373632,0.16962109384159374,0.05141510061018526,0.11169838170656082,-0.2747923351904449,0.04079199344014972
four children are doing backbends in the gym,four children are doing backbends in the park,44,45,-1,19,18,8,8,7,92,92,93,100,89,95,90,0.8704119193945526,0.30822580905702707,0.1810640355627835,8.342413882339315,1.0,132.83644241285154,0.6017707709869098,0.27250662052946173,0.3180257508444161,0.15640914849319731,0.11169838170656082,0.19583478232285678,0.04079199344014972
four girls are doing backbends and playing in the garden,four girls are doing backbends and playing outdoors,56,51,5,19,18,10,8,7,84,86,86,100,82,90,80,0.6631940260564804,0.22156545432031155,0.10447576974838846,6.490114846514189,1.0,110.31020702284607,0.457112189332132,0.20203189043524325,0.235814552686123,0.3151180952307487,0.2185272656801789,0.0580681211370786,-0.30541609917790025
a man who is playing is running with the ball in his hands,a player is running with the ball,58,33,25,18,15,13,7,6,68,86,91,100,73,88,68,1.7934583858491036,0.691107549497465,0.1534388596535856,7.3777862775059475,1.0,109.68821354186241,0.5539654669617368,0.25543925433613135,0.26379962293815407,0.06498479733992334,0.058196285823944566,-0.595570218162544,-0.6626998714389853
two groups of people are playing football,a player is running with the ball,41,33,8,16,15,7,7,0,41,48,45,52,52,51,51,3.1514427639392757,1.229040278215434,0.48218761427665513,13.631042621433153,1.0,168.7455190539264,0.9820260941125065,0.44390348954974457,0.5466264682786697,-0.14118344618352005,0.058196285823944566,-0.13999243853777266,-0.6626998714389853
two teams are competing in a baseball game,a player is running with the ball,42,33,9,15,15,8,7,1,43,48,48,100,52,51,51,3.0276920691233813,1.149223588404156,0.45433121024888745,13.234629383558058,1.0,168.41162036420073,0.9532378947749371,0.42882288432167603,0.5335401207300227,-0.019014807534274484,0.058196285823944566,0.22338597754319744,-0.6626998714389853
a player is running with the ball,two teams are competing in a football match,33,43,-10,15,17,7,8,1,42,42,48,100,45,42,42,3.0610823898797412,1.163702706587679,0.46195115264396147,13.256346139634843,1.0,168.58439049879186,0.9611983950183218,0.4368176670473976,0.5331271572446519,0.058196285823944566,0.10403279690397638,-0.6626998714389853,-0.2131048938672695
five wooden stands are in front of each child's hut,five children are standing in front of a wooden hut,51,51,0,17,17,10,10,7,67,82,67,100,88,86,86,0.7599160893957863,0.35958282495721083,0.059145535400672467,4.628217764373403,1.0,85.54793401419232,0.343934681452631,0.15775950454599919,0.16707473693292083,-0.05422648194058021,-0.16203148986670377,-0.23873342511142193,-0.41897125350455733
five kids are standing close together and one kid has a gun,five kids are standing close together and none of the kids has a gun,59,68,-9,17,17,12,14,10,93,93,86,100,92,93,93,0.518786730445683,0.2267602159372866,0.046613925657155275,4.094752280856483,1.0,83.35396736403791,0.30533236458332286,0.14100806435268495,0.14906285752553128,-0.0220605325481681,0.05672734942389957,0.013618938365147493,-0.16085276901866985
five kids are standing close together and none of the kids has a gun,five children are standing in front of a wooden hut,68,51,17,17,17,14,10,5,57,60,61,100,63,63,61,2.3003887314386056,0.876835721921539,0.43938936412016016,13.331537202815525,1.0,174.0437508179806,0.937432004500921,0.41809435257554844,0.5377513390254737,0.05672734942389957,-0.16203148986670377,-0.16085276901866985,-0.41897125350455733
five children are standing in a wooden hut,five kids are standing close together and one kid has a gun,42,59,-17,17,17,8,12,4,57,60,62,100,57,63,61,2.338612178740048,0.8734160945073844,0.45737399377950416,13.434984217346937,1.0,174.76870515622966,0.9564245723935965,0.4257163173372539,0.547914816749802,-0.03809183209630969,-0.0220605325481681,-0.3764009358722329,0.013618938365147493
five wooden stands are in front of each child's hut,five kids are standing close together and one kid has a gun,51,59,-8,17,17,10,12,2,53,53,53,100,57,53,53,2.6159528274486563,1.0574873719436813,0.45464883038549564,13.34121197584318,1.0,173.3411444778547,0.9535709706438448,0.42995347306798687,0.547159497553145,-0.05422648194058021,-0.0220605325481681,-0.23873342511142193,0.013618938365147493
an old man is sitting in a field,a man is sitting in a field,32,27,5,12,11,8,7,6,92,95,96,100,85,100,92,0.7159840002488437,0.3123948037694141,0.07070703959826807,5.141352357153664,1.0,95.41496305143873,0.3760506446000472,0.17088704416110514,0.18321696576836888,0.013719426023990202,-0.06912289523461834,-0.7693197830894509,-0.5724110146720971
a man is sitting in a field,a man is running in a field,27,27,0,11,12,7,7,5,85,85,85,100,85,84,85,0.9058529647258491,0.3851562866663927,0.1864449264850877,8.456303548067808,1.0,133.7711167558213,0.610647113506468,0.27616305379107586,0.3136696749741016,-0.06912289523461834,-0.10041626493443748,-0.5724110146720971,-0.6643015434257493
a person is wearing a hat and is sitting on the grass,a person is sitting in a field and is wearing a hat,53,51,2,13,15,12,12,7,63,85,65,100,76,89,79,0.6312480892850876,0.23008211848711965,0.0820283993852805,5.592716484316043,1.0,100.36985898701995,0.4050392496285902,0.18534333128473476,0.20282031338661788,0.06704547745966564,-0.0874015826507529,-0.3336139093261088,-0.322211764667482
a person is sitting and wearing a grass hat,a person is wearing a hat and is sitting on the grass,43,53,-10,13,13,9,12,8,62,95,60,100,84,100,90,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.06704547745966564,0.06704547745966564,-0.3336139093261088,-0.3336139093261088
a person is sitting and wearing a grass hat,a man is sitting in a field,43,27,16,13,11,9,7,3,57,86,67,100,59,65,54,2.439015988448018,0.9296361190921972,0.3631465135363354,11.916584109902033,1.0,161.6890957923718,0.8522282948162097,0.3815136028696474,0.46745226275747037,0.06704547745966564,-0.06912289523461834,-0.3336139093261088,-0.5724110146720971
a man is sitting in a field,a person is wearing a hat and is sitting on the grass,27,53,-26,11,13,7,12,3,48,86,67,100,63,65,50,2.439015988448018,0.9296361190921972,0.3631465135363354,11.916584109902033,1.0,161.6890957923718,0.8522282948162097,0.3815136028696474,0.46745226275747037,-0.06912289523461834,0.06704547745966564,-0.5724110146720971,-0.3336139093261088
the current is being ridden by a group of friends in a raft,a group of friends are riding the current in a raft,59,51,8,17,15,13,11,8,53,83,55,100,84,87,85,0.6259930229759215,0.2126821664661169,0.11834287210853678,6.829352035958436,1.0,109.53623512964057,0.4865035903140746,0.21761757392498235,0.24832538442042476,0.10250249534358284,0.08121168667705675,-0.06062191926096405,-0.23564727890330373
a group of friends are riding the current in a raft,a group is not riding the current in a raft,51,43,8,15,15,11,10,7,85,86,79,100,79,91,81,0.6436644420524598,0.26521248818639515,0.07321612562959323,5.215738316066563,1.0,92.52823811284873,0.3826646809005695,0.1755809438948564,0.18763535193038028,0.08121168667705675,0.006185643194962897,-0.23564727890330373,-0.057876566214452474
the current is being ridden by a group of friends in a raft,this group of people is practicing water safety and wearing preservers,59,70,-11,17,19,13,11,3,39,51,42,100,42,54,40,2.9719214954019866,1.1153284217705157,0.6182293833981987,15.28814948957006,1.0,182.43303021423668,1.1119616871834341,0.5078307455773496,0.6611721810022635,0.10250249534358284,-0.16558032044581497,-0.06062191926096405,0.8786333467026375
a group of friends are riding the current in a raft,this group of people is practicing water safety and wearing preservers,51,70,-19,15,19,11,11,2,50,50,55,100,47,50,43,2.815961988351688,1.0774350286423597,0.5284287382150459,14.300572707492393,1.0,177.59046175831065,1.0280357583114286,0.4691685152396317,0.5920352276255921,0.08121168667705675,-0.16558032044581497,-0.23564727890330373,0.8786333467026375
a deer is jumping over a fence,a deer isn't jumping over the fence,30,35,-5,16,19,7,7,5,89,89,80,100,93,94,86,1.0152092637280865,0.34565568193859236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.030512251715703178,-0.030512251715703178,-0.010687694868420916,-0.010687694868420916
people are walking inside a building that has many murals on it,people are walking outside a building that has many murals on it,63,64,-1,19,19,12,12,11,96,96,95,100,87,96,88,0.26539090505539975,0.12986960975398265,0.019241460097926155,2.7417385786120576,1.0,65.07392661452769,0.19617063484482614,0.08717755499608432,0.10152741358953975,-0.19025566531097607,-0.09744318132080286,0.20850566983378904,0.015296402307013679
several people are in front of a colorful building,nobody is in front of the colorful building,50,43,7,17,16,9,8,5,71,77,79,100,74,81,69,1.1045584332756517,0.4814381694823504,0.1546187387677731,7.799087207715274,1.0,125.5290170010438,0.5560912826926172,0.24770919422713275,0.2919606672318682,-0.26808007657318145,-0.2752367589720155,-0.28776153043137986,-0.18836027876105144
people are walking outside a building that has many murals on it,nobody is in front of the colorful building,64,43,21,19,16,12,8,1,36,45,44,100,49,47,45,2.3252632548914796,0.9546079032413279,0.3330303673430286,11.19291093226093,1.0,156.10845245977112,0.816125428151164,0.36632263556937406,0.4448985126458922,-0.09744318132080286,-0.2752367589720155,0.015296402307013679,-0.18836027876105144
people are walking outside the building that has several murals on it,several people are in front of a colorful building,69,50,19,19,17,12,9,4,44,66,52,100,66,70,59,1.4528352491405285,0.5729138190420706,0.20816824930670985,9.055699875636492,1.0,138.23681630060292,0.6452414520664046,0.2897132744978969,0.3423637372264888,-0.013829712191194476,-0.26808007657318145,-0.12051806716005364,-0.28776153043137986
a family is watching a little boy who is hitting a baseball,a family is watching a little boy who is missing a baseball,59,59,0,16,16,12,12,8,95,95,95,100,86,94,86,0.5630205998103606,0.20608382822418037,0.07626982665180548,5.532842121938302,1.0,112.00855858440698,0.3905632387645184,0.17268090585610754,0.21318067043474995,0.13277168256232197,0.11049031562926122,0.3608661167602021,0.400865138385047
a child is hitting a baseball,a family is watching a little boy who is missing a baseball,29,59,-30,12,16,6,12,3,59,86,72,100,69,65,55,2.545517571608864,0.9665480493678387,0.33512187608279,11.420084922603564,1.0,169.36208343538158,0.8186841361480451,0.36603980253680407,0.47045903764696817,0.06390824714825753,0.11049031562926122,0.545062913280022,0.400865138385047
a child is missing a baseball,a family is watching a little boy who is hitting a baseball,29,59,-30,12,16,6,12,3,57,86,72,100,62,65,55,2.5763582451585045,0.9659849947814134,0.29737567737551984,10.779247948688862,1.0,159.7822504343202,0.7712012309137466,0.34309201233108405,0.43870091818594775,0.0861778801580231,0.13277168256232197,0.3566029138742959,0.3608661167602021
a purple crowd of people is eating on various red lit restaurant tables,various people are eating at red tables in a crowded restaurant with purple lights,71,82,-11,18,18,13,14,8,56,81,56,100,90,85,84,0.7082912121437732,0.2420349402340201,0.06553912198265521,5.076148682826897,1.0,89.09163639057016,0.3620472947186955,0.1619336602742185,0.18393892228236036,0.03256696512943127,-0.06347521623310888,0.15266195636401436,0.034633304479087634
a large group of asian people is eating at a restaurant,various customers are eating in a crowded restaurant with purple lights,55,71,-16,13,18,11,11,3,48,53,55,100,58,56,54,2.3840136306412982,0.90836579496837,0.36446910190643134,11.856591249728808,1.0,161.79446560995558,0.8537787431041272,0.3876724149749673,0.47453884429838045,-0.06772448369592235,-0.0445232458692011,0.053615710943212935,-0.1334519443847504
a purple crowd of people is eating on various red lit restaurant tables,a large group of asian people is eating at a restaurant,71,55,16,18,13,13,11,6,65,71,65,100,62,75,56,2.281304733777256,0.856001793495783,0.3564405879111855,11.370947260409594,1.0,152.91441407323123,0.8443228879453141,0.3910260332552053,0.45406493857536817,0.03256696512943127,-0.06772448369592235,0.15266195636401436,0.053615710943212935
various people are eating at red tables in a crowded restaurant with purple lights,a small group of people is waiting to eat in a restaurant,82,57,25,18,15,14,12,4,56,58,63,100,56,61,60,2.3657374605012,0.9294171924097078,0.3376693500466186,11.379754354406032,1.0,153.95597233040348,0.8217899518463121,0.3672969090648694,0.4413284657870054,-0.06347521623310888,-0.1005256305828807,0.034633304479087634,-0.22332215385653553
a motorcycle rider is standing up on the seat of a white motorcycle,no motorcycle rider is standing up on the seat of a motorcycle,67,62,5,19,18,13,12,10,93,93,90,100,95,97,91,0.6101051853733711,0.22622811487805194,0.02674101717833821,3.2014217923970136,1.0,67.72530514982824,0.231261828884208,0.10354975772648177,0.11509343412904217,0.2065065923073682,0.16424518878220196,-0.24914432908073714,-0.262351812450333
